Category,Retailer,Product Name,Product ID,Date,Clicks,Sales,Indirect Sales,Device Type Group
Home,Amazon,Hallmark 2016 Disney Frozen Elsa and Anna Photo Holder Holiday Ornament,B01BLOR44S,12/15/16 20:42,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Crock-Pot 3-Quart Round Manual Slow Cooker Stainless Steel SCR300SS,B003UCG8II,12/15/16 20:42,n/a,1,ndi,DESKTOP
Pet Supplies,Amazon,PetTech Remote Controlled Dog Training Collar Rechargeable and Waterproof All Size Dogs (10Lbs - 100Lbs) 400 Yard Range,B01DUWWZ9S,12/16/16 6:57,n/a,1,ndi,DESKTOP
Toys & Games,Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),B01FMK17RC,12/16/16 12:53,n/a,1,di,DESKTOP
Toys & Games,Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),B01FMK17RC,12/16/16 12:53,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Nespresso Inissia Espresso Maker Black,B00KMSLHDY,12/16/16 12:53,n/a,1,di,DESKTOP
Toys & Games,Amazon,VTech Kidizoom Camera Pix Pink (Frustration Free Packaging),B01FMK17RC,12/16/16 12:53,n/a,1,di,DESKTOP
Grocery & Gourmet Food,Amazon,Nespresso Variety Pack for OriginalLine 50 Capsules 1.76 oz,B0099HD3YA,12/16/16 12:53,n/a,2,ndi,DESKTOP
Electronics,Amazon,My Audio Pet - Mini Bluetooth Wireless Speaker - PANDAmonium,B01G3VNWYU,12/17/16 11:46,n/a,1,di,PHONE
Toys & Games,Amazon,LeapFrog Read with Me Violet,B00CG0CL3G,12/17/16 21:51,n/a,1,ndi,DESKTOP
Toys & Games,Amazon,Little Tikes Easy Score Basketball Set - 3 Ball,B01C5A2WJO,12/17/16 21:51,n/a,1,ndi,DESKTOP
Toys & Games,Amazon,B. LucKeys,B00IWCQR3M,12/17/16 22:42,n/a,1,di,DESKTOP
Home,Amazon,Full Circle Tidy Organic Dish Cloths Set of 3 Multi,B003ZJL51G,12/17/16 22:42,n/a,1,ndi,DESKTOP
Toys & Games,Amazon,Playskool Sesame Street Love2Learn Elmo,B01BMW5PZY,12/19/16 13:45,n/a,1,di,DESKTOP
Toys & Games,Amazon,Playskool Sesame Street Love2Learn Elmo,B01BMW5PZY,12/19/16 13:46,n/a,1,di,DESKTOP
DVD,Amazon,Wreck-It Ralph (Blu-ray 3D/Blu-ray/DVD + Digital Copy),B00A7OJ0DC,12/20/16 12:21,n/a,1,ndi,TABLET
DVD,Amazon,Jason Bourne (4K Ultra HD + Blu-ray + Digital HD),B01JAQES02,12/20/16 12:21,n/a,1,ndi,TABLET
Electronics,Amazon,Bluelounge CableDrop Mini White - Cable Management System for All Cables up to 5/16-inch,B00FK4PLPK,12/20/16 12:21,n/a,1,ndi,TABLET
DVD,Amazon,Captain America: The First Avenger [Blu-ray],B00PCK4UD6,12/20/16 12:21,n/a,1,ndi,TABLET
DVD,Amazon,The Peanuts Movie - 3D Collector's Edition [Blu-ray 3D + Blu-ray + DVD + Digital HD],B018WXLK0K,12/20/16 12:21,n/a,1,ndi,TABLET
DVD,Amazon,The Revenant [4K UHD Blu-ray],B01CFRMJD6,12/20/16 12:21,n/a,1,ndi,TABLET
Tools & Hardware,Amazon,GE White Shade Night Light (2 Count),B01BPEUHCK,1/2/17 16:41,n/a,1,ndi,DESKTOP
Watches,Amazon,Cluse La Boheme Rose Gold White/Grey Womens Watch CL8015.,B00VTD1VH8,1/14/17 17:47,n/a,1,di,DESKTOP
Pet Supplies,Amazon,Vastar Dog No Bark Collar Electric Anti Bark Shock Control with 7 Levels Button Adjustable,B01N9FABWJ,1/29/17 7:28,n/a,1,ndi,DESKTOP
Home,Amazon,MARATHON CL030033BK Atomic Self-setting Self-adjusting Wall Clock w/ Stand & 8 timezones - Batteries Included (Black),B01KKCHA28,1/31/17 22:40,n/a,1,ndi,DESKTOP
Books,Amazon,Around That Time: Horst at Home in Vogue,1419722247,2/1/17 7:24,n/a,1,ndi,DESKTOP
Baby,Amazon,Miffy Baby Cards by Milestone Capture your baby's first year together with Miffy! Add a card to your baby pictures. The Perfect Baby Shower Gift,B00VWZ75P0,2/2/17 15:56,n/a,1,di,DESKTOP
Pet Supplies,Amazon,OxGord Natural Oatmeal Dog Puppy Shampoo & Conditioner 100% Natural 20 oz- Medicated Clinical Vet Formula Wash For All Pets - Made with Aloe Vera for ,B0167AVKCI,2/4/17 15:00,n/a,1,ndi,DESKTOP
Watches,Amazon,La Bohème Rose Gold White/Pink,B00MPQITKA,2/6/17 9:47,n/a,1,di,DESKTOP
Baby,Amazon,Gerber 5 Count Heavyweight Gauze Prefold White,B007VBYVXI,3/13/17 13:30,n/a,1,di,PHONE
Baby,Amazon,21 mm 2xOne-Piece Small Breastshield w/ Valve and Membrane for Medela Breast Pumps; Replacement to Medela PersonalFit 21 Breastshield and Personal Fit,B00FK599DE,3/19/17 12:23,n/a,1,ndi,DESKTOP
Baby,Amazon,Lansinoh Breastmilk Storage Bottles 4 Count BPA Free and BPS Free,B00IIRY2RE,4/24/17 15:48,n/a,1,ndi,DESKTOP
Baby,Amazon,Wooden Baby Hair Brush Set with Natural Goat Hair Bristles ~ Helps Prevent Cradle Cap ~ Best Baby Shower and Registry Gift ~ Supports Charity,B01BLTN3EI,4/24/17 15:48,n/a,1,ndi,DESKTOP
Books,Amazon,Option B: Facing Adversity Building Resilience and Finding Joy,1524732680,4/24/17 15:48,n/a,1,ndi,DESKTOP
Baby,Amazon,Lansinoh Breastmilk Storage Bottles 4 Count BPA Free and BPS Free,B00IIRY2RE,4/25/17 5:47,n/a,1,ndi,DESKTOP
Baby,Amazon,Nenesupply Generic Backflow Protector Compatible with Spectra S2 Spectra S1 and 9 Plus Breastpump Not Original Spectra Backflow Protector and Spectra ,B019JHTUSM,4/25/17 5:47,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Leather Drink Coasters Set with Strap (6-Pack) Decorative Table Home Bar Kitchen or Dining Cup Holders Round,B01N6HTYGH,5/15/17 16:19,n/a,1,ndi,DESKTOP
Baby,Amazon,Brica Infant Comfort Canopy Car Seat Cover,B005FWCEGG,5/19/17 16:00,n/a,1,ndi,DESKTOP
Grocery & Gourmet Food,Amazon,Bean Box Gourmet Coffee Sampler - (fresh roasted coffee gift box specialty whole bean 4 handpicked roasts personalized gift note),B00UGK4S3Y,5/24/17 14:15,n/a,1,ndi,DESKTOP
Office Products,Amazon,Hammermill Paper Premium Multi-Purpose Paper Poly Wrap 24lb 8.5 x 11 Letter 97 Bright 500 Sheets / 1 Ream (105810) Made In The USA,B00BT2SSKM,5/25/17 21:04,n/a,1,ndi,DESKTOP
Luggage,Amazon,AmazonBasics 4-Piece Packing Cube Set - Small Gray,B014VBI7OO,5/25/17 21:04,n/a,1,ndi,DESKTOP
Pet Supplies,Amazon,Petmate Replendish Gravity Waterer w/ Microban,B0057LAICM,5/25/17 21:04,n/a,1,ndi,DESKTOP
Clothing & Accessories,Amazon,Women's Push Up Deep V Nursing Bras 3PACK BlackPinkBeige L,B01LWBVB0A,5/29/17 17:48,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,My Heating Pad- Hot Therapy Pack – Natural Heat Therapy - Stress Relief (Blue),B0178HVCGI,5/29/17 17:48,n/a,1,ndi,DESKTOP
Clothing & Accessories,Amazon,Make America Great Again - Donald Trump 2016 Campaign Cap Hat (002) Red,B01GQI49FQ,5/30/17 17:56,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Epsom Salt 2Lb (907g),B000JJAVPQ,5/31/17 10:30,n/a,1,ndi,DESKTOP
Luxury Beauty,Amazon,essie essie nail polish bordeaux 0.46 fl. oz.,B00770OUUM,5/31/17 10:30,n/a,1,ndi,DESKTOP
Luxury Beauty,Amazon,essie essie nail polish bordeaux 0.46 fl. oz.,B00770OUUM,5/31/17 16:05,n/a,1,ndi,DESKTOP
Baby,Amazon,Lansinoh mOmma Breastmilk Feeding Bottle with NaturalWave Nipple 8 Ounce 3 Count BPA Free and BPS Free,B00H0DH2OM,5/31/17 16:05,n/a,1,ndi,DESKTOP
Baby,Amazon,Baby Banana Infant Training Toothbrush and Teether Yellow,B002QYW8LW,5/31/17 16:05,n/a,1,di,DESKTOP
Baby,Amazon,Dr. Brown's Original Nipple Level 3 (6m+) 6-Pack,B015XBYDD0,6/2/17 11:44,n/a,1,ndi,PHONE
Tools & Hardware,Amazon,KOHLER K-9245-BN 2.5 GPM Moxie Showerhead and Wireless Speaker Vibrant Brushed Nickel,B00DQSF5C6,6/2/17 22:08,n/a,1,di,PHONE
Sports & Outdoors,Amazon,Zepp Golf 2 3D Swing Analyzer,B01CL9802W,6/6/17 8:06,n/a,1,di,DESKTOP
Books,Amazon,Goodnight Goodnight Construction Site,811877825,6/8/17 4:56,n/a,1,di,DESKTOP
Books,Amazon,Sleepy Bunny (Pat the Bunny Cloth Book),375825312,6/8/17 4:56,n/a,1,di,DESKTOP
Health & Personal Care,Amazon,Mother’s Select Organic Goat’s Rue – Herbal Support Aid for Lactation & Nursing - Increase Breast Milk Supply - Safe Gluten Free Dairy and Soy Free -,B00PWLZ7JG,6/27/17 9:21,n/a,1,ndi,DESKTOP
Musical Instruments,Amazon,Stentor 1500 4/4 Violin,B002021HIK,6/27/17 11:10,n/a,1,di,DESKTOP
Cell Phones & Accessories,Amazon,AUKEY 20000mAh Portable Charger with Lightning and Micro-USB Input 3.4A Dual USB Output for iPhone 7/7 Plus Samsung and More,B0176HQ1O8,7/10/17 19:02,n/a,1,ndi,PHONE
Baby,Amazon,Vulli Sophie la Girafe,B000IDSLOG,7/11/17 5:03,n/a,1,di,PHONE
Musical Instruments,Amazon,Millant-Deroux The Original Dark Rosin For Violin - Viola - Cello,B000F3JO8G,7/11/17 8:44,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,23andMe DNA Test - Health + Ancestry Personal Genetic Service - 75+ Online Reports,B01G7PYQTM,7/11/17 21:38,n/a,2,di,PHONE
Toys & Games,Amazon,Manhattan Toy Lullaby Squirrel Pull Musical Crib and Baby Toy,B01N18LFGH,7/19/17 10:40,n/a,1,di,DESKTOP
Office Products,Amazon,Scratch the World® - scratch off places you travel map print! - detailed cartography - 33.11 x 23.39 inches,B00O8PNW6M,8/6/17 19:14,n/a,1,di,DESKTOP
Camera,Amazon,GoPro HERO5 Black,B01M14ATO0,8/6/17 19:14,n/a,1,di,DESKTOP
Health & Personal Care,Amazon,Boiron Camilia Baby Teething Relief 30 Doses. Teething Drops for Painful Gums Irritability. Benzocaine and Preservative-Free Sterile Single Oral L,B005KG7U16,8/15/17 18:43,n/a,1,di,PHONE
Baby,Amazon,Boon Marco Light-Up Bath Toy,B00R88PN6I,9/5/17 18:17,n/a,1,di,DESKTOP
Baby,Amazon,"World of Eric Carle The Very Hungry Caterpillar ""Numbers Bath Book""",B00CDJD28I,9/5/17 18:17,n/a,1,di,DESKTOP
Baby,Amazon,Boon Building Bath Pipes Toy Set Set of 5,B00R0V7PUU,9/5/17 18:17,n/a,1,di,DESKTOP
Handbags and Shoes,Amazon,Women's Nike Free RN 2017 Running Shoe Black/White/Dark Grey/Anthracite Size 7.5 M US,B01K0NQJVU,9/6/17 9:43,n/a,1,ndi,DESKTOP
Other,Amazon,Flash Furniture Small Solid Navy Blue Kids Bean Bag Chair,B00G582IJ2,9/10/17 11:20,n/a,1,ndi,PHONE
Tools & Hardware,Amazon,SunLabz Energy-Saving LED Light Bulbs - A19 Soft-White 60-Watt Equivalent E26 Socket Non-Dimmable Pack of 6,B01N6QEOG0,9/11/17 19:31,n/a,1,ndi,DESKTOP
Sports & Outdoors,Amazon,We Sell Mats Foam Interlocking Square Floor Tiles with Borders (Each 2 x 2 Feet) 48 SQFT (12 Tiles + Borders) - Charcoal Gray,B00HWFITCW,9/15/17 18:34,n/a,1,ndi,DESKTOP
Baby,Amazon,Safety Baby Magnetic Cabinet Locks - No Tools Needed (8 Locks + 2 Keys),B00W4GSSDE,9/16/17 17:53,n/a,1,ndi,DESKTOP
Baby,Amazon,Baby Banana Infant Training Toothbrush and Teether Yellow,B002QYW8LW,9/24/17 14:16,n/a,1,di,DESKTOP
Baby,Amazon,Linkax Baby Magnetic Locks Safety Cabinet Locks Child Magnet Drawer & Door Locks Set for Home Safety No Drilling (10 Locks + 2 Keys),B071HL6S4W,9/24/17 14:16,n/a,1,ndi,DESKTOP
Baby,Amazon,Boon Building Bath Pipes Toy Set Set of 5,B00R0V7PUU,10/6/17 9:44,n/a,1,di,PHONE
Books,Amazon,The 101 Coolest Simple Science Experiments: Awesome Things To Do With Your Parents Babysitters and Other Adults,1624141331,10/6/17 9:48,n/a,1,ndi,PHONE
Toys & Games,Amazon,Scientific Explorer Tasty Science Kit,B000NQNS5K,10/6/17 9:59,n/a,1,ndi,PHONE
Baby,Amazon,Boon Building Bath Pipes Toy Set Set of 5,B00R0V7PUU,10/19/17 11:23,n/a,1,di,DESKTOP
Books,Amazon,The Pout-Pout Fish,374360979,10/22/17 17:12,n/a,1,di,DESKTOP
Baby,Amazon,Infantino Squeeze Pouches 4-Fl Oz50 count,B009IWNPXK,10/22/17 17:12,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Burt's Bees Baby Shampoo & Wash Calming 12 Ounces (Pack of 3),B017U04C60,10/31/17 16:51,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Ball 4-Ounce Quilted Crystal Jelly Jars with Lids and Bands Set of 12 - 2 Pack (Total 24 Jars),B00RG0IWBG,11/3/17 19:05,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Beesworks Yellow Beeswax Pellets - 2 lb,B00FD32S0Y,11/3/17 19:05,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,"White Oval Waterproof Essential Oil Labels for Bottles & Jars – 2.5"" x 1.5"" Oval 5 Sheets 90 Labels",B01MG1CHAP,11/4/17 23:19,n/a,1,ndi,DESKTOP
Home,Amazon,LUCID 4 Inch Folding Mattress and Sofa with Removable Indoor / Outdoor Fabric Cover - Twin XL Size,B01M3U32IA,11/8/17 5:41,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Pampers Cruisers Disposable Diapers Size 3 180 Count (One Month Supply),B00ZV2DP40,11/8/17 19:22,n/a,1,ndi,DESKTOP
Baby,Amazon,ZOE Umbrella XL1 Single Stroller DELUXE - Black,B01FE9GOCY,11/8/17 19:22,n/a,1,ndi,DESKTOP
Sports & Outdoors,Amazon,"Level Terrain FlipBelt Waist Pouch Black Large/32""-35""",B00JF9DU4U,11/9/17 5:59,n/a,1,di,DESKTOP
Clothing & Accessories,Amazon,Burt's Bees Baby Baby Organic Holiday Zip Sleeper Cranberry Rugby Stripe 3-6 Months,B01H4QBD30,11/9/17 17:31,n/a,1,ndi,DESKTOP
Baby,Amazon,CoCaLo Mix & Match Patchwork Fur Blanket Silver,B00J0YSI1K,11/9/17 19:42,n/a,1,ndi,DESKTOP
Clothing & Accessories,Amazon,Women's Sequins V-neck Ball Evening Prom Gown Bridesmaid Dress Bodycon Size US8 KK199-4,B01KYT70MW,11/15/17 12:13,n/a,1,ndi,DESKTOP
Grocery & Gourmet Food,Amazon,CalNaturale Svelte Organic Protein Shake Chocolate 11 Ounce (Pack of 8),B00IPCCGV6,11/18/17 16:34,n/a,1,ndi,PHONE
Tools & Hardware,Amazon,KOHLER K-9245-BN 2.5 GPM Moxie Showerhead and Wireless Speaker Vibrant Brushed Nickel,B00DQSF5C6,11/19/17 14:17,n/a,1,di,DESKTOP
Computers,Amazon,HDE iPad Mini Kids Case Shockproof Handle Stand Cover for Apple iPad Mini 2/3 Retina (Green),B00EPIWY0C,11/21/17 3:40,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Instant Pot DUO80 8 Qt 7-in-1 Multi- Use Programmable Pressure Cooker Slow Cooker Rice Cooker Steamer Sauté Yogurt Maker and Warmer,B01B1VC13K,11/24/17 10:05,n/a,1,di,PHONE
Other,Amazon,All-new Echo (2nd Generation) with improved sound powered by Dolby and a new design – Heather Gray Fabric,B0749WVS7J,11/25/17 18:19,n/a,1,di,PHONE
Kitchen & Housewares,Amazon,Bin 8 Multi Kitchen Tool (juices strains grates and more!),B0043YSM0E,11/26/17 8:36,n/a,2,ndi,DESKTOP
Health & Personal Care,Amazon,Hurraw! Lip Balms: Black Cherry Tinted (2 Pack),B01LR81ZFM,11/26/17 10:57,n/a,1,ndi,PHONE
Health & Personal Care,Amazon,Hurraw! Lip Balms: Black Cherry Tinted (2 Pack),B01LR81ZFM,11/26/17 10:58,n/a,1,ndi,PHONE
Health & Personal Care,Amazon,Aveeno Baby Eczema Therapy Soothing Baby Bath Treatment 5 Count-3.75oz (Pack of 2),B005982NIU,11/26/17 15:25,n/a,1,ndi,DESKTOP
Health & Personal Care,Amazon,Aveeno Baby Eczema Therapy Moisturizing Cream For Dry Skin 7.3 Oz.,B0080I51NK,11/26/17 15:25,n/a,1,ndi,DESKTOP
Home,Amazon,MaxHold No-Drilling/Suction Cup Double / Two Tier Corner Shower Caddy Organizer Basket - Vaccum System - Stainless Steel Never Rust - for Bathroom & K,B011KHOPZM,11/26/17 18:46,n/a,1,ndi,PHONE
Home,Amazon,OXO Good Grips All-Purpose Squeegee,B000CCDBRK,11/26/17 18:46,n/a,1,ndi,PHONE
Beauty,Amazon,No Fog Shower Mirror with Rotating Locking Suction; Bonus Separate Razor Holder | Adjustable Arm for Easy Positioning | Best Personal Mirror for Shav,B00XMJNH88,11/26/17 18:46,n/a,1,ndi,PHONE
Home,Amazon,OXA Smart 1000W Ultra-Compact Handheld Garment Steamer 20s Fast Steaming with 2 Brushes Portable Fabric Clothes Steamer – Portable Safe Lightweigh,B072WLQSVJ,11/27/17 9:41,n/a,1,ndi,DESKTOP
Home,Amazon,BSLINO 4pcs/set Triangle Sheet Band Straps Suspenders Adjustable Fitted Bed Sheet Corner Holder Elastic Straps Fasteners Clips Grippers Mattress Pad C,B01M1JUJ8H,11/27/17 9:41,n/a,1,ndi,DESKTOP
Other,Amazon,Sex at Dawn: How We Mate Why We Stray and What It Means for Modern Relationships,B004ADQAPM,11/27/17 10:19,n/a,1,ndi,DESKTOP
Computers,Amazon,Elegoo Upgraded 37 in 1 Sensor Modules Kit with Tutorial for Arduino UNO R3 MEGA 2560 Nano 2016 new version,B01MG49ZQ5,11/27/17 10:34,n/a,1,ndi,DESKTOP
Industrial & Scientific,Amazon,Elegoo UNO Project Super Starter Kit with Tutorial for Arduino,B01D8KOZF4,11/27/17 10:34,n/a,1,ndi,DESKTOP
Industrial & Scientific,Amazon,Top Greener TU2152A-W Dual USB Outlet/Outlet with USB ports Dual USB Charger Outlet USB Power Outlet 2.1A USB Outlet with 15A Tamper Resistant Dupl,B00MNU668A,11/27/17 11:40,n/a,2,ndi,PHONE
Kitchen & Housewares,Amazon,Hudson Essentials Cast Iron Cleaner XL 7x7 Premium Stainless Steel Chainmail Scrubber,B00KQCJ0CG,11/27/17 11:40,n/a,1,ndi,PHONE
Other,Amazon,Echo Dot (2nd Generation) - Black,B01DFKC2SO,11/27/17 15:17,n/a,2,di,PHONE
Kitchen & Housewares,Amazon,Fred DINNER WINNER Kids' Dinner Tray Enchanted Forest,B01D1FSJXA,11/29/17 5:48,n/a,1,di,PHONE
Home & Garden,Amazon,Click & Grow Indoor Smart Fresh Herb Garden Kit With 3 Basil Cartridges & White Lid | Self Watering Planter & Patented Nano-Tech Medium For Plant Grow,B00ZFXFXZ4,11/30/17 11:55,n/a,1,di,PHONE
Toys & Games,Amazon,Exploding Kittens: NSFW Edition (Explicit Content - ADULTS ONLY!),B010TU7LP2,12/3/17 4:32,n/a,1,di,PHONE
Books,Amazon,Manage Your Day-to-Day: Build Your Routine Find Your Focus and Sharpen Your Creative Mind (The 99U Book Series),1477800670,12/3/17 4:32,n/a,1,di,PHONE
Beauty,Amazon,Bath Bombs Gift Set - GAEA MIRACLE Handmade SPA Bombs Fizzing with Organic and Natural Ingredients-Soothe 6 x 4 oz Dry Skin Relaxation-A Great Gift fo,B074CJ11ZL,12/3/17 4:32,n/a,2,di,PHONE
Kitchen & Housewares,Amazon,8Pcs Small Wooden Salt Spoon Condiments Teaspoon Seasoning Sugar Coffee Tea Jam Mustard Ice Cream,B076KBBQKQ,12/5/17 22:12,n/a,1,ndi,DESKTOP
Home,Amazon,Thirsty Rhino Stainless Steel Mini Flask Funnel / Essential Oil Bottle Funnel (Set of 2),B01CUQ0ITO,12/5/17 22:12,n/a,1,ndi,DESKTOP
Books,Amazon,Algorithms to Live By: The Computer Science of Human Decisions,1250118360,12/7/17 5:54,n/a,1,di,DESKTOP
Baby,Amazon,Munchkin White Hot Inflatable Duck Tub,B000066665,12/7/17 5:54,n/a,2,ndi,DESKTOP
Office Products,Amazon,Valuetoner Remanufactured Ink Cartridge Replacement for HP 60 CC640WN CC643WN (2 Black 1 Tri-Color) 3 Pack,B00VEYOSWM,12/7/17 5:54,n/a,1,ndi,DESKTOP
Kitchen & Housewares,Amazon,Copper Garden Fork,B00OIKKWG0,12/8/17 18:14,n/a,1,ndi,DESKTOP
Home & Garden,Amazon,Alchemade Copper Garden Trowel,B00OIKIAAA,12/8/17 18:14,n/a,1,ndi,DESKTOP
