id,category_type_id,category_id
1,8,1
2,8,2
3,8,3
4,8,4
5,8,5
6,8,6
7,8,7
8,8,8
9,8,9
10,8,10
11,8,11
12,8,12
13,8,13
14,8,14
15,8,15
16,8,16
17,8,17
18,8,18
19,8,19
20,8,20
21,8,21
22,8,22
23,8,23
24,8,24
25,8,25
26,8,26
27,8,27
28,8,28
29,8,29
30,8,30
31,8,31
32,8,32
33,8,33
34,8,34
35,8,35
36,8,36
37,8,37
38,8,38
39,8,39
40,8,40
41,8,41
42,8,42
43,8,43
44,8,44
45,8,45
46,8,46
47,8,47
48,8,48
49,8,49
50,8,50
51,8,51
52,8,52
53,8,53
54,8,54
55,8,55
56,8,56
57,8,57
58,8,58
59,13,59
60,13,60
61,13,61
62,13,62
63,13,63
64,13,64
65,13,65
66,13,66
67,13,67
68,13,68
69,13,69
70,13,70
71,13,71
72,13,72
73,13,73
74,13,74
75,13,75
76,13,76
77,13,77
78,13,78
79,13,79
80,13,80
81,13,81
82,13,82
83,13,83
84,11,84
85,11,85
86,11,86
87,11,87
88,11,88
89,11,89
90,11,90
91,11,91
92,11,92
93,11,93
94,11,94
95,11,95
96,11,96
97,11,97
98,11,98
99,11,99
100,11,100
101,11,101
105,4,105
107,4,107
108,4,108
111,12,111
112,12,112
113,12,113
114,12,114
115,12,115
116,12,116
117,12,117
118,12,118
119,12,119
120,12,120
121,12,121
122,12,122
123,7,123
124,7,124
125,7,125
126,7,126
127,7,127
128,7,128
129,7,129
131,7,131
132,7,132
133,6,133
134,6,134
137,6,137
139,6,139
142,6,142
149,14,149
150,14,150
151,14,151
152,14,152
155,14,155
157,14,157
166,5,166
167,5,167
171,2,171
172,2,172
173,2,173
174,2,174
175,2,175
176,2,176
183,9,183
184,9,184
185,9,185
186,9,186
187,9,187
188,9,188
189,9,189
190,9,190
191,9,191
192,9,192
193,9,193
194,9,194
195,9,195
196,9,196
197,9,197
198,9,198
199,9,199
200,9,200
201,9,201
202,9,202
203,9,203
204,9,204
205,9,205
206,9,206
207,9,207
208,9,208
209,9,209
210,9,210
211,9,211
212,9,212
213,9,213
214,9,214
215,9,215
216,9,216
217,9,217
218,9,218
219,9,219
220,9,220
221,9,221
222,9,222
223,9,223
224,9,224
225,9,225
226,9,226
227,9,227
228,9,228
229,9,229
230,9,230
231,9,231
232,9,232
233,9,233
234,9,234
235,9,235
236,9,236
237,9,237
238,9,238
239,9,239
240,9,240
241,9,241
242,9,242
243,9,243
244,9,244
245,9,245
246,9,246
247,9,247
248,9,248
249,9,249
250,9,250
251,9,251
252,9,252
253,9,253
254,9,254
255,9,255
256,9,256
257,9,257
258,9,258
259,9,259
260,9,260
261,9,261
262,9,262
263,9,263
264,9,264
265,9,265
266,9,266
267,9,267
268,9,268
269,9,269
270,9,270
271,9,271
272,9,272
273,9,273
274,9,274
275,9,275
276,9,276
277,9,277
278,9,278
279,9,279
280,9,280
281,9,281
282,9,282
283,9,283
284,9,284
285,9,285
286,9,286
287,9,287
288,9,288
289,9,289
290,9,290
291,9,291
292,9,292
293,9,293
294,9,294
295,9,295
296,9,296
297,9,297
298,9,298
299,9,299
300,9,300
301,9,301
302,9,302
303,9,303
304,9,304
305,9,305
306,9,306
307,9,307
308,9,308
309,9,309
310,9,310
311,9,311
312,9,312
313,9,313
314,9,314
315,9,315
316,9,316
317,9,317
318,9,318
319,9,319
320,9,320
321,9,321
322,9,322
323,9,323
324,9,324
325,9,325
326,9,326
327,9,327
328,9,328
329,9,329
330,9,330
331,9,331
332,9,332
333,9,333
334,9,334
335,9,335
336,9,336
337,9,337
338,9,338
339,9,339
340,9,340
341,9,341
342,9,342
343,9,343
344,9,344
345,9,345
346,9,346
347,9,347
348,9,348
349,9,349
350,9,350
351,9,351
352,9,352
353,9,353
354,9,354
355,9,355
356,9,356
357,9,357
358,9,358
359,9,359
360,9,360
361,9,361
362,9,362
363,9,363
364,9,364
365,9,365
366,9,366
367,9,367
368,9,368
369,9,369
370,9,370
371,9,371
372,9,372
373,9,373
374,9,374
375,9,375
376,9,376
377,9,377
378,9,378
379,9,379
380,9,380
381,9,381
382,9,382
383,9,383
384,9,384
385,9,385
386,9,386
387,9,387
388,9,388
389,9,389
390,9,390
391,9,391
392,9,392
393,10,393
394,10,394
395,10,395
396,10,396
397,10,397
398,1,398
399,1,399
400,1,400
401,1,401
402,1,402
403,8,403
404,8,404
405,16,147
406,16,148
407,16,153
408,16,154
409,16,156
410,16,158
411,16,159
412,16,160
413,16,161
414,16,162
415,17,135
416,17,136
417,17,138
418,17,140
419,17,141
420,17,143
421,17,144
422,17,145
423,17,146
424,19,130
425,17,163
426,17,164
428,17,168
429,17,169
430,18,170
431,18,180
432,18,179
433,18,181
434,18,182
435,18,178
436,18,177
437,19,102
438,19,103
439,19,104
440,19,106
441,19,109
442,19,110
443,11,405
444,11,406
445,11,407
446,13,408
447,13,409
448,13,410
449,13,411
450,13,412
451,16,413
452,16,414
453,17,415
454,11,416
427,18,165
456,19,418
